NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.730	0.710	0.670	0.470	0.180	0.810	NaN	0.880	NaN	-1.170	0.840	0.780	0.820	0.430	0.350	0.360	0.390	0.480	0.610	0.280	0.350	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.110	0.010	0.780	0.600	-0.060	0.580	NaN	0.170	NaN	1.860	0.130	0.030	0.120	0.420	0.520	0.400	0.470	0.220	0.080	0.120	0.340	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.340	-0.170	-0.280	0.070	-0.450	0.210	NaN	NaN	NaN	0.070	0.050	-0.030	0.160	-0.050	-0.030	-0.050	-0.090	-0.630	-0.510	-0.560	0.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.290	-0.010	0.660	0.970	-0.130	0.800	NaN	NaN	NaN	-0.370	-0.400	-0.660	-0.400	1.040	0.940	0.930	0.920	0.270	0.210	0.130	0.840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.560	-0.240	0.070	-0.480	0.000	NaN	NaN	NaN	0.000	0.540	0.490	0.590	-0.630	-0.590	-0.440	-0.090	-0.600	-0.650	-0.690	-0.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200	0.400	1.160	-0.190	0.940	NaN	NaN	NaN	-0.250	0.310	0.090	0.830	-0.180	0.410	0.360	1.060	-0.300	-0.190	-0.330	0.820	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.350	-0.350	-0.520	-1.260	-0.700	NaN	0.270	NaN	0.050	0.580	0.480	0.360	-0.740	-0.750	-0.700	-0.610	-0.190	0.210	-1.390	-0.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.380	0.140	0.480	1.390	0.110	NaN	0.040	NaN	-0.030	0.230	0.610	0.840	1.790	0.090	0.160	0.690	0.210	0.410	1.310	0.850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.370	-1.210	-0.540	-0.310	-0.850	NaN	0.210	NaN	0.140	0.550	0.470	0.320	-0.110	-0.180	-0.860	-0.790	-0.320	0.070	-0.210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.160	1.770	0.150	0.010	-0.270	NaN	-0.320	NaN	-0.040	0.620	0.660	0.350	-0.170	0.680	-0.150	0.380	-0.080	-0.080	0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.400	-0.060	-0.660	-0.640	-0.530	-0.940	NaN	0.150	NaN	-0.010	0.560	0.440	0.480	0.360	-0.230	-0.390	-0.130	0.170	0.010	-0.310	-0.070	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.650	0.200	2.120	0.070	0.430	-0.010	NaN	-0.190	NaN	0.670	0.770	0.470	0.820	1.040	0.690	0.700	1.330	0.590	0.840	0.910	1.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.120	-0.090	-0.140	-0.690	-0.420	-1.330	NaN	0.210	NaN	0.080	0.480	0.450	0.650	0.460	0.230	-0.470	-0.210	0.280	0.550	0.010	-0.400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.410	-0.070	1.030	0.180	0.560	1.500	NaN	-0.040	NaN	0.230	0.840	0.460	1.180	1.070	1.690	0.420	0.880	0.650	0.480	0.600	1.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.250	-0.120	-0.080	-0.160	-1.170	-0.540	-0.560	NaN	0.110	NaN	0.100	0.440	1.220	0.860	0.460	0.270	-0.600	-0.250	0.210	0.630	0.020	-0.760	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.460	0.100	0.100	0.860	1.340	0.700	0.050	NaN	0.070	NaN	0.330	0.780	0.820	1.050	0.920	1.060	0.870	0.540	0.290	0.810	0.780	0.660	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.130	-0.150	-0.200	-0.810	-0.100	-0.590	NaN	0.690	NaN	0.070	0.520	0.980	1.000	0.440	0.300	0.070	-0.310	0.280	0.540	0.040	0.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.250	0.820	0.760	0.600	0.900	0.000	NaN	0.290	NaN	0.740	0.690	0.110	0.680	1.140	1.470	1.290	1.220	0.770	0.910	0.740	1.580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.330	0.190	-0.160	-0.800	-0.030	-0.600	NaN	0.890	NaN	0.100	0.610	0.310	0.810	0.560	0.310	0.210	0.530	0.310	0.570	0.230	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.620	1.130	0.660	0.400	0.710	-0.120	NaN	0.190	NaN	0.650	0.460	0.310	0.350	1.480	1.460	1.210	1.260	0.820	1.200	1.080	1.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
